檔名,主要分類,分類理由,文字可擷取,重複來源
Assessment of reaction speed tests using the BlazePod system.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
At-the-nexus-of-neuroscience-and-educa_2012_Developmental-Cognitive-Neurosci.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 6,是,
Attentional_set_shifting_and_social_abil.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
BF03196468.pdf,99_待人工確認,無法可靠判定主要類別,是,
BF03197067.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 4,是,
BJDP08.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 16,是,
Berchetal.1998-CorsiBlock-TappingTask.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 3,是,
Berlin.Bohlin.2002.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Bialystok_Martin_20041.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 11,是,
BioMed Research International - 2019 - Lo - The Effect of Judo Training on Set%E2%80%90Shifting in School Children.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Borella-deribaupierre_Lerarning-WM-comprehension-children_IndividualDifferences_2014.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 18,是,
Brain-function-during-probabilistic-learning-in-re_2012_Developmental-Cognit.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 2,是,
British J of Psychology - 2026 - Song - The developmental trajectories of working memory updating from early childhood to.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 4,是,
COGDEVPicturesuperiorityeffect.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 6,是,
Carrettietal.2005.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 2,是,
Changes_in_the_capacity_of_visual_working_memory_in_5_to_10_year_olds_2006.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 38,是,
Childrencannotignorewhattheyhear.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 1,是,
CognitiveBenefitsofBilingualism.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Cognitive_flexibility_training_has_direct_and_near_transfer_effects_but_no_far_transfer_effects_in_preschoolers.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 35,是,
Counting_on_Working_Memory_When_Learning.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 2,是,
CycowiczNeuropsychologia2001.pdf,99_待人工確認,無法可靠判定主要類別,是,
Cytomegalovirus_infection_in_day_care_ce.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
DAnguilli_etAl_SESandERP_Neuropsyc2008.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 11,是,
Deficits_in_visual_short_term_memory_bin.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 8,是,
DevPsychology2010.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 10,是,
Develop Med Child Neuro - 2007 - Largo - Neuromotor development from 5 to 18 years  Part 1  timed performance.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
Develop Med Child Neuro - 2007 - Schouten - Set%E2%80%90shifting in healthy children and in children with idiopathic or cryptogenic.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 64,是,
Develop Med Child Neuro - 2011 - HILL - How does exercise benefit performance on cognitive tests in primary%E2%80%90school pupils.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
Develop Med Child Neuro - 2013 - Bodimeade - Executive function in children and adolescents with unilateral cerebral palsy.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Develop Med Child Neuro - 2019 - Houdt - Executive function deficits in children born preterm or at low birthweight  a.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Development_of_planning_in_4_to_10_year.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 37,是,
Developmental Science - 2012 - Burnett Heyes - Development of visual working memory precision in childhood.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 29,是,
Developmental_changes_in_picture_recogni.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 6,是,
Dibbets-Jolles-2006-The-Switch-Task-for-Children-Measuring-mental-flexibility-in-young-children.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 16,是,
Differences-in-neural-activation-between-preterm-and-full_2012_Developmental.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Differential_effects_of_social_and_non_s.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Differentiating_preschoolers_sequential.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 28,是,
ED611705.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 8,是,
EJ1052008.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 13,是,
EJ1092502.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 5,是,
EJ1350507.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 1,是,
Early-adversity-and-neural-correlates-of-executive-f_2012_Developmental-Cogn.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Early-math-achievement-and-functional-connectivit_2012_Developmental-Cogniti.pdf,09_神經機制與其他延伸,神經機制、腦影像或 ERP,是,
Editorial-Board_2012_Developmental-Cognitive-Neuroscience.pdf,09_神經機制與其他延伸,神經機制、腦影像或 ERP,是,
Effects_of_age_reminders_and_task_diffic.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 3,是,
Emotionalsetshifting.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 11,是,
Enhanced-efficiency-of-the-executive-attention-network-a_2012_Developmental-.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 21,是,
Eskandari%2C%20Jansari%20%26%20Bagheri_Persian%20version%20JEFc.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
Evidence_of_Developmental_Differences_in.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Executive functions and processing speed in children with mild to borderline intellectual disabilities and externalizing behavior problems.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Executive_Function_Measures_for_Children.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
Executive_Functions_2013.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 17,是,
Executive_function_and_verbal_self_regul.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Executive_functions_2019.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 2,是,
Executive_functions_and_inhibitory_contr.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 5,是,
Exploring_developmental_differences_in_v.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 12,是,
Fluid reasoning  working memory and planning ability in assessment of risk for mathematical difficulties.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 41,是,
From-ERPs-to-academics_2012_Developmental-Cognitive-Neuroscience.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 13,是,
"Gathercole, Pickering, Ambridge & Waring (2004).pdf",02_PM_視覺工作記憶,主題關鍵字最高分 9,是,
GentnerMedina98.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
Hauscknecht1_Retesting_in_Selction.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
Heritability_of_Response_Inhibition_in_C.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Impact-of-phonological-processing-skills-on-written_2012_Developmental-Cogni.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 1,是,
Infant_and_Child_Development_How_Specifi.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 8,是,
IsquithRothGioia2013ContributionsofRatingScalestoAssessmentofEF.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
Jacquesetal99.pdf,99_待人工確認,PDF文字擷取不足或可能為掃描檔,否,
LAttout_dvlptalpsy_final_2013-2444-RRR.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 3,是,
Learn. Mem.-2003-Vuontela-74-81.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 10,是,
Learning_rule_described_and_non_rule_des.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 5,是,
LechugaPelegrinaPelaezMartn-PugaJusticia2014.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
LiWei.DevelopmentalTrajectoryofRuleDetection.pdf15620056.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 4,是,
Limits-of-visual-WM-2017-preprint.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 2,是,
Manuscript.pdf,99_待人工確認,無法可靠判定主要類別,是,
Maturation_of_brain_function_associated.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 37,是,
McCormackIJP1999.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 10,是,
Methylphenidate_improves_working_memory.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Mullane_Corkum_Klein_McLaughlin_2009.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 8,是,
N2-amplitude-as-a-neural-marker-of-executive-function-in-y_2012_Developmenta.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
Neural-circuitry-associated-with-two-different-ap_2012_Developmental-Cogniti.pdf,09_神經機制與其他延伸,神經機制、腦影像或 ERP,是,
Neural_development_of_selective_attentio.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 33,是,
Neural_indicators_of_error_processing_an.pdf,09_神經機制與其他延伸,神經機制、腦影像或 ERP,是,
Neuronal-effects-following-working-memory_2012_Developmental-Cognitive-Neuro.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 1,是,
On_the_stability_of_instability_Optimisi.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
Orbitofrontal_cortex_related_executive_f.pdf,09_神經機制與其他延伸,神經機制、腦影像或 ERP,是,
Orienting_Attention_Within_Visual_Short.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 29,是,
PalmerPfordresher2003PsychRev.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 1,是,
Perspective_taking_and_cognitive_flexibi.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 15,是,
Perspectives.pdf,09_神經機制與其他延伸,神經機制、腦影像或 ERP,是,
Practice-effects-in-the-developing-brain--A_2012_Developmental-Cognitive-Neu.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 1,是,
Preler_LEAIND13.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 6,是,
RIDDRevisedManuscript110312.pdf,99_待人工確認,無法可靠判定主要類別,是,
Rakoczy_Young_CogDev_1552953.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
Reaction Time Variability in Children With ADHD Symptoms and or Dyslexia.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
Relationships_among_processing_speed_wor.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 37,是,
Reliability and validity of the revised Gibson Test of Cognitive Skills  a computer-based test battery for assessing cognition across the lifespan.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
SVRTnjppp.pdf,99_待人工確認,無法可靠判定主要類別,是,
Sanders-Audat-3-5-Neuropsy-2006-v4wny4.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 20,是,
Scherf_etal_06_JOCN.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 4,是,
Selective_attention_event_related_potent.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 47,是,
Spatial_reconstruction_following_virtual.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 8,是,
THE_DEVELOPMENT_OF_EXECUTIVE_FUNCTION_IN.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 8,是,
The Validity and Reliability Study of the Working Memory Rating Scale in  Early Childhood[#989031]-1949467.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
The%20assessment%20of%20executive%20functioning%20in%20children.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
The-role-of-selective-attention-on-academic-foundat_2012_Developmental-Cogni.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 33,是,
The-timing-of-educational-investment--A-neuros_2012_Developmental-Cognitive-.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
The-two-component-model-of-memory-development--and-i_2012_Developmental-Cogn.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 3,是,
The_Diagnostic_Utility_of_Executive_Func.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
The_Effects_of_Feedback_on_Perseverative.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 20,是,
The_Elusive_Nature_of_Executive_Functions_A _Review_of_our_Current_Understandin_2007.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 6,是,
The_Role_of_Negative_Priming_In_Preschoo.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 16,是,
The_contribution_of_inhibitory_control_to_preschoo.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 119,是,
The_role_of_working_memory_capacity_in_implicit_and_explicit_sequence_learning_of_children.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 72,是,
The_serial_use_of_child_neurocognitive_t.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
Thomas_AAM.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
Tsuchida2005b.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 2,是,
VanSchooten2019_CatchTheRuler_ConcurrentValidityAnd.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
VirtualReality-BasedExerciseReduces_2020.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 4,是,
Visuospatial_Processing_in_the_Resolutio.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 17,是,
Voigt_et_al_2014.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
Weak-task-related-modulation-and-stimulus-representation_2012_Developmental-.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 5,是,
What_limits_childrens_working_memory_spa.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 8,是,
Working_Memory_Power_Test_for_Children.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
Zelazo_NP_06.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
acp-13-177.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 3,是,
acx067.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
ajol-file-journals_242_articles_241136_submission_proof_241136-2881-580481-1-10-20230208.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 17,是,
alfers-et-al-2024-assessing-the-speed-accuracy-tradeoff-in-psychological-testing-using-experimental-manipulations.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 2,是,
bf03213479 (1).pdf,02_PM_視覺工作記憶,主題關鍵字最高分 5,是,
bf03213479.pdf,98_重複檔案,與 bf03213479 (1).pdf 完全相同,是,bf03213479 (1).pdf
blankenship_1938_memory.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 15,是,
brainsci-13-00655.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 5,是,
bul-bul0000311.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
cdev12044.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 17,是,
children-11-00986.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 2,是,
cochetal05.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 9,是,
desc.13254.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 1,是,
djt068.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 4,是,
file (1).pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 10,是,
file.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 32,是,
file01.pdf,99_待人工確認,無法可靠判定主要類別,是,
file02.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 8,是,
file03.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 10,是,
fnhum-14-561223.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 43,是,
fnins-08-00150.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 4,是,
fphar-16-1588284.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 1,是,
fpsyg-05-00213.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 8,是,
fpsyg-06-00562.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 4,是,
fpsyg-07-01169.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 1,是,
fpsyg-08-01040.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 31,是,
fpsyg-09-00582.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 17,是,
fpsyg-10-02910.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 2,是,
fpsyg-11-00281.pdf,06_LB_規則序列與規劃,主題關鍵字最高分 6,是,
fpsyg-11-580329.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
fpsyg-12-692228.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 4,是,
fpsyg-15-1280739.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 28,是,
fpsyg-17-1713652.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
fulltext.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 4,是,
i1062-6050-46-4-409.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
i2164-2591-6-4-3.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 1,是,
jephpp14.pdf,99_待人工確認,無法可靠判定主要類別,是,
jn.00087.2018.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 4,是,
joc-4-1-154.pdf,99_待人工確認,無法可靠判定主要類別,是,
journal.pone.0223160.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 24,是,
journal.pone.0257459.pdf,99_待人工確認,無法可靠判定主要類別,是,
jsr-article-p828.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 1,是,
jssm-13-145.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
larson-hawkins_inpress_JEPLMC.pdf,99_待人工確認,無法可靠判定主要類別,是,
linguistics-research-graduate-dissertations-leddondissertation2006.pdf,99_待人工確認,無法可靠判定主要類別,是,
medi-97-e11678.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 3,是,
moriguchi-hiraki-2009-neural-origin-of-cognitive-shifting-in-young-children.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 15,是,
nihms-1679218.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
nihms-1733563.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 7,是,
nihms-255211.pdf,99_待人工確認,無法可靠判定主要類別,是,
nihms-274757.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 7,是,
nihms-611266.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 3,是,
nihms-638228.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 7,是,
nihms-688234.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 12,是,
nihms-93801.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 8,是,
nihms-9706.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 10,是,
nihms-994448.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
nihms16819.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 3,是,
nihms206827.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
nihms230971.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 6,是,
nihms254283.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 15,是,
nihms291748.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
nihms355621.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 10,是,
nihms362623.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 12,是,
nihms426799.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
nihms455265.pdf,01_SRT_反應時間與處理速度,主題關鍵字最高分 2,是,
nihms460077.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 8,是,
nihms534936.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 8,是,
nihms591586.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 10,是,
nihms646943.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
nihms689860.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
nihms732247.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 15,是,
nihms746341.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
nihms789964.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
nihms801037.pdf,09_神經機制與其他延伸,神經機制、腦影像或 ERP,是,
nihms818341.pdf,05_DCCS_認知彈性與規則切換,主題關鍵字最高分 4,是,
nihms831076.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 7,是,
nihms876064.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 11,是,
oliveira-et-al-2024-reliability-of-the-serial-reaction-time-task-if-at-first-you-don-t-succeed-try-try-try-again.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
primary_review_2-1a_report_cognitive_development_learning_071214.pdf,00_共同理論_執行功能與兒童發展,廣泛執行功能或兒童認知發展,是,
qt2pr4v5z1.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 14,是,
qt55d483q5.pdf,99_待人工確認,無法可靠判定主要類別,是,
rennieetal.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 13,是,
retrieve_2_.pdf,99_待人工確認,無法可靠判定主要類別,是,
rsos.221542.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
s00221-025-07005-y.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
s00426-023-01803-1.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 14,是,
s10648-019-09470-8.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 4,是,
s10802-008-9235-7.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 16,是,
s13423-024-02597-y.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
s13428-010-0024-1.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
s13428-017-0916-4.pdf,08_特殊族群與介入研究,特殊族群、疾病或介入研究,是,
s13428-022-02038-5.pdf,07_信效度_練習效應與測驗限制,信度、效度、再測、練習效應或測量限制,是,
s40595-013-0012-3.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 26,是,
s40817-019-00070-6.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 3,是,
s41598-021-90560-5.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 24,是,
s41809-020-00056-3.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 6,是,
s42113-020-00074-y.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 2,是,
sieglerchen98.pdf,99_待人工確認,PDF文字擷取不足或可能為掃描檔,否,
srep14200.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 59,是,
szucsetal-jocn.2009.pdf,04_DPT_選擇性注意與反應抑制,主題關鍵字最高分 7,是,
the-assessment-of-verbal-and-visuospatial-working-memory.pdf,02_PM_視覺工作記憶,主題關鍵字最高分 6,是,
vanDijckAbrahamseFias_ANAS_inpress.pdf,03_CBT_序列與空間工作記憶,主題關鍵字最高分 7,是,
